iter	Passed	Remaining
672	855	415
673	856	414
674	857	412
675	858	411
676	859	410
677	860	408
678	862	407
679	863	406
680	864	405
681	865	403
682	866	402
683	867	400
684	868	399
685	869	398
686	870	396
687	871	395
688	872	394
689	873	392
690	875	391
691	876	389
692	877	388
693	878	387
694	880	386
695	880	384
696	882	383
697	883	382
698	884	380
699	885	379
700	886	378
701	887	376
702	888	375
703	889	373
704	890	372
705	891	371
706	893	370
707	894	369
708	895	367
709	897	366
710	898	365
711	899	363
712	900	362
713	901	361
714	902	359
715	903	358
716	904	356
717	905	355
718	906	354
719	907	353
720	908	351
721	909	350
722	910	348
723	911	347
724	912	346
725	913	344
726	915	343
727	916	342
728	917	340
729	918	339
730	919	338
731	920	336
732	921	335
733	922	334
734	923	333
735	924	331
736	925	330
737	926	329
738	928	327
739	929	326
740	930	325
741	931	323
742	932	322
743	933	321
744	934	319
745	935	318
746	936	317
747	937	315
748	939	314
749	940	313
750	941	312
751	942	310
752	943	309
753	944	307
754	945	306
755	946	305
756	947	304
757	948	302
758	949	301
759	950	300
760	951	298
761	952	297
762	954	296
763	955	295
764	956	293
765	957	292
766	958	291
767	959	289
768	960	288
769	961	287
770	962	285
771	963	284
772	964	283
773	965	281
774	966	280
775	967	279
776	968	277
777	969	276
778	970	275
779	971	274
780	972	272
781	973	271
782	974	270
783	975	268
784	976	267
785	977	266
786	978	264
787	979	263
788	980	262
789	981	261
790	983	259
791	984	258
792	985	257
793	986	256
794	988	254
795	989	253
796	990	252
797	991	250
798	992	249
799	993	248
800	994	247
801	995	245
802	996	244
803	997	243
804	998	241
805	1000	240
806	1001	239
807	1002	238
808	1003	236
809	1004	235
810	1005	234
811	1007	233
812	1008	231
813	1009	230
814	1010	229
815	1012	228
816	1013	227
817	1014	225
818	1016	224
819	1017	223
820	1018	222
821	1019	220
822	1020	219
823	1021	218
824	1022	216
825	1023	215
826	1024	214
827	1026	213
828	1027	211
829	1028	210
830	1029	209
831	1030	208
832	1031	206
833	1033	205
834	1033	204
835	1034	203
836	1035	201
837	1036	200
838	1037	199
839	1038	197
840	1039	196
841	1040	195
842	1041	194
843	1042	192
844	1044	191
845	1045	190
846	1046	188
847	1047	187
848	1048	186
849	1049	185
850	1050	183
851	1051	182
852	1052	181
853	1053	180
854	1054	178
855	1054	177
856	1055	176
857	1056	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1062	167
864	1063	166
865	1064	164
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1071	155
873	1072	154
874	1073	153
875	1074	152
876	1075	150
877	1076	149
878	1077	148
879	1078	147
880	1079	145
881	1080	144
882	1081	143
883	1082	141
884	1083	140
885	1084	139
886	1085	138
887	1086	137
888	1087	135
889	1088	134
890	1089	133
891	1091	132
892	1092	130
893	1093	129
894	1094	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1101	119
902	1102	118
903	1103	117
904	1105	115
905	1106	114
906	1107	113
907	1108	112
908	1109	111
909	1110	109
910	1111	108
911	1112	107
912	1113	106
913	1114	104
914	1115	103
915	1116	102
916	1117	101
917	1118	99
918	1119	98
919	1120	97
920	1121	96
921	1122	94
922	1123	93
923	1124	92
924	1125	91
925	1126	90
926	1127	88
927	1128	87
928	1129	86
929	1130	85
930	1131	83
931	1132	82
932	1133	81
933	1135	80
934	1136	78
935	1137	77
936	1138	76
937	1138	75
938	1139	74
939	1140	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1147	64
947	1148	62
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1153	56
953	1154	55
954	1155	54
955	1155	53
956	1156	51
957	1158	50
958	1159	49
959	1160	48
960	1161	47
961	1162	45
962	1163	44
963	1164	43
964	1165	42
965	1166	41
966	1167	39
967	1168	38
968	1169	37
969	1170	36
970	1171	34
971	1172	33
972	1173	32
973	1174	31
974	1175	30
975	1176	28
976	1177	27
977	1178	26
978	1179	25
979	1180	24
980	1181	22
981	1182	21
982	1183	20
983	1184	19
984	1185	18
985	1186	16
986	1187	15
987	1188	14
988	1189	13
989	1190	12
990	1191	10
991	1192	9
992	1193	8
993	1194	7
994	1195	6
995	1196	4
996	1197	3
997	1198	2
998	1199	1
999	1200	0
